Analysis Neighborhood,Incident Category,Incident Number
Western Addition,Assault,324
Lincoln Park,Courtesy Report,1
Seacliff,Suspicious Occ,12
Inner Richmond,Suspicious Occ,65
Tenderloin,Disorderly Conduct,322
West of Twin Peaks,Prostitution,1
Visitacion Valley,Larceny Theft,294
Portola,Miscellaneous Investigation,24
Lone Mountain/USF,Traffic Collision,6
Haight Ashbury,Civil Sidewalks,217
Sunset/Parkside,Case Closure,15
Golden Gate Park,Suicide,2
Inner Sunset,Traffic Collision,5
Outer Mission,Traffic Collision,11
Lakeshore,Non-Criminal,123
Twin Peaks,Miscellaneous Investigation,11
Mission Bay,Weapons Offence,2
Bayview Hunters Point,,10
Hayes Valley,Other Offenses,36
Bayview Hunters Point,Miscellaneous Investigation,162
North Beach,Vandalism,8
Inner Richmond,Weapons Carrying Etc,1
West of Twin Peaks,Malicious Mischief,275
Bernal Heights,Vehicle Impounded,6
Mission,Other Miscellaneous,2259
Presidio,Miscellaneous Investigation,2
Noe Valley,Non-Criminal,124
Russian Hill,Recovered Vehicle,59
null,Motor Vehicle Theft,1
Seacliff,Burglary,18
Visitacion Valley,Offences Against The Family And Children,83
Treasure Island,Malicious Mischief,53
Excelsior,Traffic Violation Arrest,57
McLaren Park,Suspicious Occ,2
Potrero Hill,Assault,131
Chinatown,Malicious Mischief,235
Glen Park,Forgery And Counterfeiting,1
Hayes Valley,Other,41
Chinatown,Prostitution,1
Western Addition,,7
Western Addition,Miscellaneous Investigation,80
Portola,Assault,142
Sunset/Parkside,Sex Offense,10
Twin Peaks,Assault,34
Pacific Heights,Other Offenses,10
Tenderloin,Vehicle Impounded,3
Mission Bay,Offences Against The Family And Children,77
Financial District/South Beach,Fraud,568
Bernal Heights,Disorderly Conduct,68
Sunset/Parkside,Warrant,98
Bayview Hunters Point,Assault,988
Treasure Island,Lost Property,17
Presidio,Assault,18
Marina,Drug Offense,32
Chinatown,Lost Property,235
Inner Richmond,Burglary,137
West of Twin Peaks,Vandalism,6
North Beach,Malicious Mischief,345
Inner Richmond,Courtesy Report,32
Excelsior,Liquor Laws,3
Mission,"Human Trafficking, Commercial Sex Acts",7
Nob Hill,Traffic Violation Arrest,55
Oceanview/Merced/Ingleside,Recovered Vehicle,47
Mission,Embezzlement,40
Western Addition,Forgery And Counterfeiting,35
Noe Valley,Missing Person,33
Lone Mountain/USF,Case Closure,24
Tenderloin,Vehicle Misplaced,3
Sunset/Parkside,Traffic Collision,18
Outer Richmond,Arson,5
Glen Park,,1
Tenderloin,Fire Report,5
Mission,Robbery,630
Portola,Rape,1
Outer Mission,Case Closure,8
Glen Park,Miscellaneous Investigation,12
Inner Sunset,Case Closure,19
North Beach,Lost Property,197
Presidio Heights,Weapons Offense,3
Japantown,Offences Against The Family And Children,19
Bayview Hunters Point,Rape,5
Lincoln Park,Suspicious Occ,1
Presidio Heights,Fraud,44
Presidio,Forgery And Counterfeiting,1
Bayview Hunters Point,Forgery And Counterfeiting,44
Lakeshore,Missing Person,42
South of Market,Recovered Vehicle,405
Mission,Homicide,2
Japantown,Larceny Theft,1137
Twin Peaks,Forgery And Counterfeiting,4
Mission,Drug Violation,20
Western Addition,Rape,2
Portola,Forgery And Counterfeiting,8
Haight Ashbury,Motor Vehicle Theft,152
Outer Mission,Sex Offense,3
Inner Sunset,Sex Offense,1
Lincoln Park,Burglary,3
Castro/Upper Market,Arson,14
Glen Park,Assault,37
Lone Mountain/USF,Sex Offense,4
Outer Mission,Warrant,56
Potrero Hill,Forgery And Counterfeiting,4
Inner Sunset,Warrant,30
Chinatown,Vandalism,4
Haight Ashbury,Suicide,1
Golden Gate Park,Civil Sidewalks,1
Bernal Heights,Fire Report,1
Lone Mountain/USF,Warrant,54
Glen Park,Malicious Mischief,70
Chinatown,Forgery And Counterfeiting,23
Treasure Island,Forgery And Counterfeiting,2
Financial District/South Beach,Disorderly Conduct,212
Bernal Heights,Fraud,84
Castro/Upper Market,Offences Against The Family And Children,112
West of Twin Peaks,Rape,1
Potrero Hill,Vandalism,4
North Beach,Miscellaneous Investigation,18
Lakeshore,Robbery,32
Bayview Hunters Point,Vandalism,21
Hayes Valley,Weapons Carrying Etc,7
Inner Richmond,Other Offenses,20
North Beach,,4
Nob Hill,Recovered Vehicle,91
Presidio Heights,Fire Report,3
Golden Gate Park,Drug Offense,38
Presidio Heights,Vehicle Misplaced,1
Oceanview/Merced/Ingleside,Traffic Violation Arrest,11
Lakeshore,Embezzlement,5
Tenderloin,Suspicious,2
Portola,Vandalism,7
Pacific Heights,Burglary,274
Hayes Valley,Suspicious Occ,67
Russian Hill,Liquor Laws,2
Tenderloin,Weapons Offense,120
Outer Richmond,Larceny Theft,1802
Twin Peaks,Vandalism,1
Glen Park,Lost Property,23
Japantown,Arson,1
Noe Valley,Embezzlement,2
Inner Richmond,Other,18
Lakeshore,Homicide,1
Mission,Missing Person,441
Golden Gate Park,Motor Vehicle Theft?,1
McLaren Park,Other Offenses,4
Tenderloin,Fraud,312
Western Addition,Vandalism,9
Noe Valley,Robbery,20
Financial District/South Beach,Vehicle Impounded,3
Outer Richmond,Offences Against The Family And Children,76
Marina,Motor Vehicle Theft,136
Sunset/Parkside,Family Offense,13
Lone Mountain/USF,Stolen Property,7
North Beach,Assault,241
Hayes Valley,Burglary,306
West of Twin Peaks,Forgery And Counterfeiting,23
Bernal Heights,Weapons Offense,19
Outer Mission,Stolen Property,6
Pacific Heights,Suspicious Occ,60
Inner Sunset,Stolen Property,9
Castro/Upper Market,Larceny Theft,1549
Marina,Suicide,7
Seacliff,Other,3
Pacific Heights,Weapons Carrying Etc,5
South of Market,Traffic Violation Arrest,232
Bayview Hunters Point,Homicide,3
Twin Peaks,Drug Violation,1
Lincoln Park,Larceny Theft,202
Western Addition,Embezzlement,4
Mission,Forgery And Counterfeiting,85
Western Addition,Robbery,153
Portola,Drug Violation,1
Noe Valley,Vandalism,7
Oceanview/Merced/Ingleside,Stolen Property,7
Tenderloin,Civil Sidewalks,7
Haight Ashbury,Disorderly Conduct,40
Bayview Hunters Point,Drug Violation,8
Sunset/Parkside,Liquor Laws,1
Hayes Valley,Arson,30
Mission Bay,Courtesy Report,64
Nob Hill,Sex Offense,12
Potrero Hill,Drug Violation,1
West of Twin Peaks,Missing Person,85
Nob Hill,Warrant,166
Japantown,Burglary,70
Excelsior,Traffic Collision,7
Visitacion Valley,Courtesy Report,7
South of Market,Stolen Property,89
Pacific Heights,Arson,4
Russian Hill,Family Offense,2
